title,content,excerpt,status,type,expires,code,printable_url,destination_url,store,category,date,exclusive,author,store_name,store_slug,store_description,store_parent,store_url,store_aff_url,store_heading,store_is_featured,store_extra_info,store_image,category_name,category_slug,category_description,category_parent,category_icon,category_cat_image
Ganhe 10% OFF em vestuário e calçados.,,,,Cupom,30/11/16,A1116-CEA10OFF,,http://v2.afilio.com.br/tracker.php?banid=4268042&campid=44518;1678&siteid=49553,,,,,,C&A,,,,,,,,,,,,,,,
Camiseta Under Armour Tech - Masculina,,,,Oferta,31/12/16,,,http://v2.afilio.com.br/tracker.php?banid=4268106&campid=44518;2020&siteid=49553,,,,,,Under Armour,,,,,,,,,,,,,,,
Bolsa Under Armour Favorite Logo Tote,,,,Oferta,31/12/16,,,http://v2.afilio.com.br/tracker.php?banid=4268108&campid=44518;2020&siteid=49553,,,,,,Under Armour,,,,,,,,,,,,,,,
Top Fitness Under Armour Low,,,,Oferta,31/12/16,,,http://v2.afilio.com.br/tracker.php?banid=4268111&campid=44518;2020&siteid=49553,,,,,,Under Armour,,,,,,,,,,,,,,,
Mochila Under Armour Hall of Fame,,,,Oferta,31/12/16,,,http://v2.afilio.com.br/tracker.php?banid=4268113&campid=44518;2020&siteid=49553,,,,,,Under Armour,,,,,,,,,,,,,,,
Frete Grátis em compras acima de R$99,,,,Oferta,31/12/16,,,http://v2.afilio.com.br/tracker.php?banid=4268115&campid=44518;2020&siteid=49553,,,,,,Under Armour,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,title,startdate,enddate,url,discount,progid,rule,code,description,type,,,,,,,,,,,,,,,,,,,
170781,,8/26/2016,,,20/01/00,1944,,,,p,,,,,,,,,,,,,,,,,,,
170791,,8/30/2016,,,20/01/00,1905,,,,p,,,,,,,,,,,,,,,,,,,
170891,,9/12/2016,,,09/04/00,1785,,,,n,,,,,,,,,,,,,,,,,,,
171003,,9/22/2016,,,13/01/00,1102,,,,p,,,,,,,,,,,,,,,,,,,
171053,,9/23/2016,,,10/01/00,382,,,,,,,,,,,,,,,,,,,,,,,
171054,,9/23/2016,,,15/01/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171055,,9/23/2016,,,19/02/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171056,,9/23/2016,,,00/01/00,382,,,,,,,,,,,,,,,,,,,,,,,
171061,,9/26/2016,,,10/01/00,2001,,,,,,,,,,,,,,,,,,,,,,,
171062,,9/26/2016,,,10/01/00,2001,,,,,,,,,,,,,,,,,,,,,,,
171063,,9/26/2016,,,10/01/00,2001,,,,,,,,,,,,,,,,,,,,,,,
171064,,9/26/2016,,,10/01/00,2001,,,,,,,,,,,,,,,,,,,,,,,
171065,,9/26/2016,,,10/01/00,2001,,,,,,,,,,,,,,,,,,,,,,,
171066,,9/26/2016,,,00/01/00,2001,,,,,,,,,,,,,,,,,,,,,,,
171067,,9/26/2016,,,00/01/00,2001,,,,,,,,,,,,,,,,,,,,,,,
171072,,9/28/2016,,,30/01/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171073,,9/28/2016,,,20/01/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171074,,9/28/2016,,,19/02/00,382,,,,n,,,,,,,,,,,,,,,,,,,
171108,,10/4/2016,,,10/01/00,1959,,,,p,,,,,,,,,,,,,,,,,,,
171116,,10/6/2016,,,19/02/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171117,,10/6/2016,,,19/02/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171118,,10/6/2016,,,19/02/00,382,,,,,,,,,,,,,,,,,,,,,,,
171119,,10/6/2016,,,19/02/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171120,,10/6/2016,,,19/02/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171121,,10/6/2016,,,15/01/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171122,,10/6/2016,,,10/01/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171123,,10/6/2016,,,15/01/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171124,,10/6/2016,,,10/01/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171125,,10/6/2016,,,15/01/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171126,,10/6/2016,,,10/01/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171127,,10/6/2016,,,10/01/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171128,,10/6/2016,,,15/01/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171129,,10/6/2016,,,19/02/00,382,,,,p,,,,,,,,,,,,,,,,,,,
171146,,10/6/2016,,,10/01/00,1843,,,,,,,,,,,,,,,,,,,,,,,
171172,,10/10/2016,,,05/01/00,2001,,,,p,,,,,,,,,,,,,,,,,,,
171173,,10/10/2016,,,10/01/00,2001,,,,p,,,,,,,,,,,,,,,,,,,
171174,,10/10/2016,,,05/01/00,2001,,,,p,,,,,,,,,,,,,,,,,,,
171175,,10/10/2016,,,10/01/00,2001,,,,p,,,,,,,,,,,,,,,,,,,
171179,,10/11/2016,,,21/03/00,1138,,,,p,,,,,,,,,,,,,,,,,,,
171232,,10/20/2016,,,10/01/00,2040,,,,p,,,,,,,,,,,,,,,,,,,
171233,,10/20/2016,,,10/01/00,2040,,,,p,,,,,,,,,,,,,,,,,,,
171234,,10/20/2016,,,10/01/00,2040,,,,,,,,,,,,,,,,,,,,,,,
171235,,10/20/2016,,,10/01/00,2040,,,,p,,,,,,,,,,,,,,,,,,,
171236,,10/20/2016,,,10/01/00,2040,,,,p,,,,,,,,,,,,,,,,,,,
171238,,10/20/2016,,,29/04/00,1785,,,,n,,,,,,,,,,,,,,,,,,,
171240,,10/20/2016,,,10/01/00,1844,,,,p,,,,,,,,,,,,,,,,,,,
